marca,km,provincia,precio_usd,carroceria,antiguedad
Nissan,109000,Ciudad Autónoma Buenos Aires,15000.0,SUV,6
Volkswagen,17000,Ciudad Autónoma Buenos Aires,5161.29,Pickup,2
Volkswagen,35600,Ciudad Autónoma Buenos Aires,28387.1,SUV,4
Peugeot,1,Ciudad Autónoma Buenos Aires,23548.39,SUV,0
Citroën,160000,Buenos Aires (A.M.B.A.),10500.0,Sedán,11
Toyota,109000,Ciudad Autónoma Buenos Aires,14000.0,Hatchback,10
Ford,66500,Ciudad Autónoma Buenos Aires,10903.23,Hatchback,9
Ford,147000,Buenos Aires (A.M.B.A.),4193.55,Hatchback,20
Volkswagen,241000,Santa Fe,20500.0,Pickup,10
FIAT,200000,Córdoba,6774.19,Hatchback,12
Peugeot,21000,Buenos Aires,7741.94,Hatchback,3
Chevrolet,89000,Buenos Aires (A.M.B.A.),26000.0,SUV,6
Renault,21500,Córdoba,14516.13,SUV,5
Toyota,200000,Santa Fe,8387.1,Sedán,15
Mercedes,615000,Buenos Aires (A.M.B.A.),26000.0,Furgón,18
Chevrolet,94000,Tucumán,10000.0,SUV,11
Toyota,33000,Ciudad Autónoma Buenos Aires,22000.0,Sedán,2
Peugeot,92000,Santa Fe,10322.58,Sedán,10
Chery,1,Ciudad Autónoma Buenos Aires,29000.0,SUV,0
FIAT,193000,Buenos Aires (A.M.B.A.),5096.77,Sedán,16
Volkswagen,17500,Ciudad Autónoma Buenos Aires,1935.48,Hatchback,2
Volkswagen,50000,Ciudad Autónoma Buenos Aires,2258.06,Pickup,2
Peugeot,187000,Buenos Aires (A.M.B.A.),6451.61,Hatchback,16
Chevrolet,125000,Tucumán,11612.9,Sedán,8
BMW,108000,Misiones,12580.65,Sedán,16
Chevrolet,400000,Buenos Aires,16774.19,Hatchback,1
Volkswagen,190000,Buenos Aires,8387.1,Minivan,11
Honda,96000,Ciudad Autónoma Buenos Aires,11000.0,Hatchback,11
Volkswagen,69900,Ciudad Autónoma Buenos Aires,12451.61,Minivan,9
Ford,108000,Buenos Aires (A.M.B.A.),5290.32,Hatchback,16
Toyota,21100,Ciudad Autónoma Buenos Aires,18645.16,Hatchback,1
FIAT,38730,Buenos Aires,11612.9,Sedán,4
Peugeot,59000,Buenos Aires,5161.29,Hatchback,8
Ford,72000,Ciudad Autónoma Buenos Aires,12258.06,Hatchback,8
Citroën,148000,Tucumán,7096.77,Minivan,12
Renault,81000,Buenos Aires (A.M.B.A.),5161.29,Hatchback,13
Citroën,256012,Buenos Aires (A.M.B.A.),4516.13,Hatchback,19
Nissan,38900,Ciudad Autónoma Buenos Aires,17500.0,SUV,8
Volkswagen,202000,Buenos Aires (A.M.B.A.),5700.0,Pickup,17
Ford,99000,Córdoba,16129.03,Pickup,6
Peugeot,150000,Chaco,10000.0,Hatchback,8
Ford,87000,Ciudad Autónoma Buenos Aires,9548.39,Sedán,9
Peugeot,97000,Buenos Aires (A.M.B.A.),14516.13,SUV,6
Volkswagen,25000,Ciudad Autónoma Buenos Aires,5161.29,SUV,2
Volkswagen,14500,Ciudad Autónoma Buenos Aires,3225.81,SUV,2
smart,95000,Buenos Aires (A.M.B.A.),12800.0,Hatchback,13
Volkswagen,16500,Ciudad Autónoma Buenos Aires,27000.0,SUV,3
DS,70000,Ciudad Autónoma Buenos Aires,11548.39,Hatchback,9
Volkswagen,137000,Ciudad Autónoma Buenos Aires,11500.0,Minivan,11
Peugeot,54000,Ciudad Autónoma Buenos Aires,5548.39,Hatchback,7
Renault,148000,Ciudad Autónoma Buenos Aires,8000.0,Sedán,4
FIAT,38500,Santa Fe,13225.81,Sedán,5
Ford,270000,Mendoza,2774.19,Sedán,29
Chery,151400,Buenos Aires,8967.74,SUV,10
Volkswagen,158000,Buenos Aires (A.M.B.A.),18500.0,Pickup,11
Peugeot,59000,Ciudad Autónoma Buenos Aires,4774.19,Hatchback,7
Chevrolet,58000,Ciudad Autónoma Buenos Aires,7735.48,Hatchback,13
Hyundai,22600,Ciudad Autónoma Buenos Aires,21000.0,SUV,4
Peugeot,267000,Ciudad Autónoma Buenos Aires,6451.61,Furgón,14
