marca,modelo,anio,km,precio,moneda,ciudad,provincia
Citroën,C4,2014,187000,9500000.0,ARS,Roldán,Santa Fe
Honda,Fit,2006,228000,7700000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,20000,6999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,New Beetle,1998,144000,11850000.0,ARS,Pilar,Buenos Aires (A.M.B.A.)
Volkswagen,Saveiro,2024,23500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Suran,2009,187000,9400000.0,ARS,Rosario,Santa Fe
DS,3 Crossback,2023,48500,29800.0,USD,Balvanera,Ciudad Autónoma Buenos Aires
Nissan,Frontier,2023,73000,46000000.0,ARS,Córdoba,Córdoba
Toyota,RAV4,2010,175000,12500.0,USD,Ituzaingo,Buenos Aires (A.M.B.A.)
Chevrolet,Prisma,2015,218000,12100000.0,ARS,El Jaguel,Buenos Aires (A.M.B.A.)
Chevrolet,Montana,2011,175000,10000000.0,ARS,Ituzaingo,Buenos Aires (A.M.B.A.)
Volkswagen,Bora,2013,187000,13500000.0,ARS,Rosario,Santa Fe
Ford,Focus Exe,2010,178000,9200000.0,ARS,Quilmes,Buenos Aires (A.M.B.A.)
Volkswagen,Golf,2017,136000,15700000.0,ARS,Rosario,Santa Fe
Toyota,Yaris Sedán,2024,87200,25800000.0,ARS,Olivos,Buenos Aires (A.M.B.A.)
Honda,ZR-V,2024,79000,25000.0,USD,La Plata,Buenos Aires
Citroën,C4,2014,187000,9200000.0,ARS,Roldán,Santa Fe
Toyota,Hilux GR Sport,2025,22500,75000000.0,ARS,La Plata,Buenos Aires
FIAT,Toro,2017,200400,12000000.0,ARS,Colegiales,Ciudad Autónoma Buenos Aires
Peugeot,208,2019,40000,15200.0,USD,Parque Patricios,Ciudad Autónoma Buenos Aires
Chevrolet,Onix,2018,73000,17000000.0,ARS,Lomas del Mirador,Buenos Aires (A.M.B.A.)
Nissan,Sentra,2016,86000,15500000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Gol Trend,2018,93000,16000000.0,ARS,Miramar,Buenos Aires
Ford,Ranger,2022,90000,19300.0,USD,Ituzaingo,Buenos Aires (A.M.B.A.)
Nissan,Kicks,2020,109000,15000.0,USD,Belgrano,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,17000,7999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Taos,2022,35600,44000000.0,ARS,Villa Urquiza,Ciudad Autónoma Buenos Aires
Peugeot,2008,2026,1,36500000.0,ARS,Colegiales,Ciudad Autónoma Buenos Aires
Citroën,C4 Lounge,2015,160000,10500.0,USD,San Miguel,Buenos Aires (A.M.B.A.)
Toyota,Etios Hatchback,2016,109000,14000.0,USD,Caballito,Ciudad Autónoma Buenos Aires
Ford,Ka,2017,66500,16900000.0,ARS,Velez Sarsfield,Ciudad Autónoma Buenos Aires
Ford,Ka,2006,147000,6500000.0,ARS,San Fernando,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2016,241000,20500.0,USD,Funes,Santa Fe
FIAT,Palio Fire,2014,200000,10500000.0,ARS,Villa Allende,Córdoba
Peugeot,208,2023,21000,12000000.0,ARS,Abasto,Buenos Aires
Chevrolet,Trailblazer,2020,89000,26000.0,USD,Ituzaingo,Buenos Aires (A.M.B.A.)
Renault,Stepway,2021,21500,22500000.0,ARS,Córdoba,Córdoba
Toyota,Corolla,2011,200000,13000000.0,ARS,Rosario,Santa Fe
Mercedes,Sprinter,2008,615000,26000.0,USD,Villa Adelina,Buenos Aires (A.M.B.A.)
Chevrolet,Tracker,2015,94000,15500000.0,ARS,Yerba Buena - Marcos Paz,Tucumán
Toyota,Corolla,2024,33000,22000.0,USD,Saavedra,Ciudad Autónoma Buenos Aires
Peugeot,408,2016,92000,16000000.0,ARS,Rosario,Santa Fe
Chery,Tiggo 4 Hybrid,2026,1,29000.0,USD,Colegiales,Ciudad Autónoma Buenos Aires
FIAT,Linea,2010,193000,7900000.0,ARS,Ituzaingo,Buenos Aires (A.M.B.A.)
Volkswagen,Polo 5P,2024,17500,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,50000,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,307,2010,187000,10000000.0,ARS,Benavidez,Buenos Aires (A.M.B.A.)
Chevrolet,Cruze,2018,125000,18000000.0,ARS,San Miguel de Tucumán,Tucumán
BMW,Serie 3 Sedán,2010,108000,19500000.0,ARS,Posadas,Misiones
Chevrolet,Onix,2025,400000,26000000.0,ARS,Cabildo,Buenos Aires
Volkswagen,Suran,2015,190000,13000000.0,ARS,Necochea,Buenos Aires
Honda,Fit,2015,96000,11000.0,USD,Recoleta,Ciudad Autónoma Buenos Aires
Volkswagen,Suran,2017,69900,19300000.0,ARS,Villa Crespo,Ciudad Autónoma Buenos Aires
Ford,Ka,2010,108000,8200000.0,ARS,Hurlingham,Buenos Aires (A.M.B.A.)
Toyota,Yaris,2025,21100,28900000.0,ARS,Palermo,Ciudad Autónoma Buenos Aires
FIAT,Cronos,2022,38730,18000000.0,ARS,General Rodrguez,Buenos Aires
Peugeot,208,2018,59000,8000000.0,ARS,Abasto,Buenos Aires
Ford,Focus,2018,72000,19000000.0,ARS,Saavedra,Ciudad Autónoma Buenos Aires
Citroën,C3 Picasso,2014,148000,11000000.0,ARS,San Miguel de Tucumán,Tucumán
Renault,Sandero,2013,81000,8000000.0,ARS,Haedo,Buenos Aires (A.M.B.A.)
Citroën,C3 XTR,2007,256012,7000000.0,ARS,Lomas De Zamora,Buenos Aires (A.M.B.A.)
